"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-09",,,,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"0.0",",,W","-4.9",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-10",,,,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"1.7",",,W","-4.9",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-11",,,,,"0.0","T,,W,2400","0.0","T,,W,2400","0.0",",,W,2400",,,"3.3",",,W","-1.0",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-12",,,,,"19.1",",,W,2400","30.0",",,W,2400","0.0",",,W,2400",,,"2.2",",,W","-3.2",",,W",,,,,,,,,,,"    1",",,W",,,,,,,,,"    1",",,W",,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-13",,,,,"2.0",",,W,2400","0.0","T,,W,2400","30.0",",,W,2400",,,"5.0",",,W","0.6",",,W",,,,,,,,,,,"    1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-14",,,,,"0.0","T,,W,2400","0.0","T,,W,2400","0.0",",,W,2400",,,"7.8",",,W","0.6",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-15",,,,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"15.0",",,W","5.6",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-16",,,,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"8.3",",,W","0.0",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-17",,,,,"1.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"3.3",",,W","-3.2",",,W",,,,,,,,,,,"    1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-18",,,,,"2.3",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"5.6",",,W","-3.2",",,W",,,,,,,,,,,"    1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-19",,,,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"2.2",",,W","-4.9",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-20",,,,,"14.5",",,W,2400","33.0",",,W,2400","0.0",",,W,2400",,,"0.6",",,W","-3.2",",,W",,,,,,,,,,,"    1",",,W","    1",",,W",,,,,,,"    1",",,W",,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-21",,,,,"2.5",",,W,2400","0.0",",,W,2400","30.0",",,W,2400",,,"11.1",",,W","0.6",",,W",,,,,,,,,,,"    1",",,W",,,,,,,,,"    1",",,W",,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-22",,,,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"6.7",",,W","2.2",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-23",,,,,"0.3",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"5.6",",,W","0.0",",,W",,,,,,,,,,,"    1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-24",,,,,"14.7",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"8.3",",,W","2.2",",,W",,,,,,,,,,,"    1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-25",,,,,"0.0","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"6.1",",,W","-2.1",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-26",,,,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"2.2",",,W","-3.8",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-27",,,,,"0.0","T,,W,2400","0.0","T,,W,2400","0.0",",,W,2400",,,"-0.5",",,W","-4.9",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-28",,,,,"0.8",",,W,2400","3.0",",,W,2400","0.0","T,,W,2400",,,"2.8",",,W","-2.7",",,W",,,,,,,,,,,"    1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-01",,,,,"2.8",",,W,2400","36.0",",,W,2400","30.0",",,W,2400",,,"1.7",",,W","-3.2",",,W",,,,,,,,,,,"    1",",,W","    1",",,W",,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-02",,,,,"13.5",",,W,2400","102.0",",,W,2400","100.0",",,W,2400",,,"5.0",",,W","-0.5",",,W",,,,,,,,,,,"    1",",,W",,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-03",,,,,"13.2",",,W,2400","76.0",",,W,2400","30.0",",,W,2400",,,"5.6",",,W","0.6",",,W",,,,,,,,,,,"    1",",,W","    1",",,W",,,,,,,,,,
